durations,T_all,NA_core,NA_rim,NB_core,NB_rim
239.0,1203.8550731847001,184.40955690809236,801.0,440.5904430919077,0.0
240.0,1203.8029044893112,183.98287511675971,801.0,441.0171248832403,0.0
241.0,1203.7507357939223,183.55898510838674,801.0,441.44101489161324,0.0
242.0,1203.6985670985337,183.13786042101742,801.0,441.8621395789826,0.0
243.0,1203.6463984031448,182.71947492583885,801.0,442.2805250741611,0.0
244.0,1203.5942297077559,182.30380282195406,801.0,442.69619717804596,0.0
245.0,1203.5420610123672,181.8908186312528,801.0,443.10918136874716,0.0
246.0,1203.4898923169783,181.48049719337854,801.0,443.51950280662146,0.0
247.0,1203.4377236215894,181.0728136607889,801.0,443.92718633921106,0.0
248.0,1203.3855549262005,180.66774349390863,801.0,444.33225650609137,0.0
249.0,1203.3333862308118,180.26526245637172,801.0,444.7347375436283,0.0
250.0,1203.281217535423,179.865346610352,801.0,445.134653389648,0.0
251.0,1203.229048840034,179.46797231197942,801.0,445.53202768802055,0.0
252.0,1203.1768801446453,179.0731162068407,801.0,445.9268837931593,0.0
253.0,1203.1247114492564,178.6807552255623,801.0,446.3192447744377,0.0
254.0,1203.0725427538675,178.29086657947406,801.0,446.709133420526,0.0
255.0,1203.0203740584789,177.9034277563517,801.0,447.0965722436483,0.0
256.0,1202.96820536309,177.51841651623667,801.0,447.4815834837633,0.0
257.0,1202.916036667701,177.1358108873316,801.0,447.86418911266844,0.0
258.0,1202.8638679723124,176.75558916196965,801.0,448.2444108380304,0.0
259.0,1202.8116992769235,176.37772989265665,801.0,448.62227010734335,0.0
260.0,1202.7595305815346,176.00221188818372,801.0,448.99778811181625,0.0
261.0,1202.707361886146,175.62901420980992,801.0,449.37098579019005,0.0
262.0,1202.655193190757,175.25811616751253,801.0,449.7418838324875,0.0
263.0,1202.6030244953681,174.8894973163041,801.0,450.1105026836959,0.0
264.0,1202.5508557999794,174.5231374526149,801.0,450.4768625473851,0.0
265.0,1202.4986871045905,174.15901661073886,801.0,450.84098338926117,0.0
266.0,1202.4465184092016,173.79711505934262,801.0,451.2028849406574,0.0
267.0,1202.3943497138127,173.43741329803552,801.0,451.5625867019645,0.0
268.0,1202.342181018424,173.0798920539998,801.0,451.9201079460002,0.0
269.0,1202.2900123230352,172.7245322786796,801.0,452.2754677213204,0.0
270.0,1202.2378436276463,172.37131514452753,801.0,452.62868485547244,0.0
271.0,1202.1856749322576,172.02022204180793,801.0,452.9797779581921,0.0
272.0,1202.1335062368687,171.67123457545523,801.0,453.32876542454477,0.0
273.0,1202.0813375414798,171.32433456198663,801.0,453.67566543801337,0.0
274.0,1202.0291688460911,170.97950402646785,801.0,454.02049597353215,0.0
275.0,1201.9770001507022,170.63672519953107,801.0,454.36327480046896,0.0
276.0,1201.9248314553133,170.29598051444376,801.0,454.7040194855563,0.0
277.0,1201.8726627599247,169.9572526042276,801.0,455.0427473957724,0.0
278.0,1201.8204940645358,169.62052429882638,801.0,455.37947570117365,0.0
279.0,1201.7683253691469,169.28577862232203,801.0,455.714221377678,0.0
280.0,1201.7161566737582,168.95299879019757,801.0,456.04700120980243,0.0
281.0,1201.6639879783693,168.62216820664642,801.0,456.3778317933536,0.0
282.0,1201.6118192829804,168.29327046192688,801.0,456.7067295380731,0.0
283.0,1201.5596505875917,167.96628932976108,801.0,457.0337106702389,0.0
284.0,1201.5074818922028,167.64120876477722,801.0,457.3587912352228,0.0
285.0,1201.455313196814,167.31801289999476,801.0,457.68198710000524,0.0
286.0,1201.403144501425,166.99668604435135,801.0,458.00331395564865,0.0
287.0,1201.3509758060363,166.67721268027063,801.0,458.3227873197294,0.0
288.0,1201.2988071106474,166.35957746127053,801.0,458.64042253872947,0.0
289.0,1201.2466384152585,166.0437652096108,801.0,458.9562347903892,0.0
290.0,1201.1944697198699,165.72976091397942,801.0,459.2702390860206,0.0
291.0,1201.142301024481,165.4175497272169,801.0,459.5824502727831,0.0
292.0,1201.090132329092,165.10711696407776,801.0,459.89288303592224,0.0
293.0,1201.0379636337034,164.79844809902866,801.0,460.20155190097137,0.0
294.0,1200.9857949383145,164.49152876408226,801.0,460.50847123591774,0.0
295.0,1200.9336262429256,164.18634474666638,801.0,460.81365525333365,0.0
296.0,1200.881457547537,163.8828819875274,801.0,461.1171180124726,0.0
297.0,1200.829288852148,163.58112657866792,801.0,461.4188734213321,0.0
298.0,1200.777120156759,163.28106476131708,801.0,461.7189352386829,0.0
